DomainId,DomainSignature,InterproName,DomainSignature; InterproName
PIRSF003900,,Ebola nucleoprotein,; Ebola nucleoprotein
PF05505,Ebola nucleoprotein,Ebola nucleoprotein,Ebola nucleoprotein; Ebola nucleoprotein
Coil,,,; 
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PR01240,Filoviridae VP35 signature,Filoviridae VP35 protein,Filoviridae VP35 signature; Filoviridae VP35 protein
PF02097,Filoviridae VP35,Filoviridae VP35 protein,Filoviridae VP35; Filoviridae VP35 protein
PIRSF018326,,Filoviridae VP35 protein,; Filoviridae VP35 protein
SSF50012,,EV matrix protein,; EV matrix protein
SSF50012,,EV matrix protein,; EV matrix protein
PIRSF018327,,EV matrix protein,; EV matrix protein
PF07447,Matrix protein VP40,EV matrix protein,Matrix protein VP40; EV matrix protein
CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.; "
SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,,Hydrophobic region of a signal peptide.; 
PF01611,Filovirus glycoprotein,"Filoviruses glycoprotein, extracellular domain","Filovirus glycoprotein; Filoviruses glycoprotein, extracellular domain"
SIGNAL_PEPTIDE,Signal peptide region,,Signal peptide region; 
SSF58069,,,; 
G3DSA:1.10.287.210,,,; 
SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,,C-terminal region of a signal peptide.; 
TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,,Region of a membrane-bound protein predicted to be embedded in the membrane.; 
PIRSF036874,,Filoviruses glycoprotein,; Filoviruses glycoprotein
TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,,Region of a membrane-bound protein predicted to be embedded in the membrane.; 
SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,,N-terminal region of a signal peptide.; 
NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.; "
SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,,N-terminal region of a signal peptide.; 
SIGNAL_PEPTIDE,Signal peptide region,,Signal peptide region; 
NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.; "
PF01611,Filovirus glycoprotein,"Filoviruses glycoprotein, extracellular domain","Filovirus glycoprotein; Filoviruses glycoprotein, extracellular domain"
SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,,C-terminal region of a signal peptide.; 
SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,,Hydrophobic region of a signal peptide.; 
SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,,N-terminal region of a signal peptide.; 
SIGNAL_PEPTIDE,Signal peptide region,,Signal peptide region; 
SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,,C-terminal region of a signal peptide.; 
SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,,Hydrophobic region of a signal peptide.; 
NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.; "
PF01611,Filovirus glycoprotein,"Filoviruses glycoprotein, extracellular domain","Filovirus glycoprotein; Filoviruses glycoprotein, extracellular domain"
PIRSF011356,,"Minor nucleoprotein VP30, Filoviridae type","; Minor nucleoprotein VP30, Filoviridae type"
PF11507,Ebola virus-specific transcription factor VP30,"Minor nucleoprotein VP30, Filoviridae type","Ebola virus-specific transcription factor VP30; Minor nucleoprotein VP30, Filoviridae type"
PF06389,Filovirus membrane-associated protein VP24,Filovirus membrane-associated VP24,Filovirus membrane-associated protein VP24; Filovirus membrane-associated VP24
PIRSF011355,,Filovirus membrane-associated VP24,; Filovirus membrane-associated VP24
PF00946,Mononegavirales RNA dependent RNA polymerase,Mononegavirales RNA-directed RNA polymerase catalytic domain,Mononegavirales RNA dependent RNA polymerase; Mononegavirales RNA-directed RNA polymerase catalytic domain
Coil,,,; 
