ProteinId,ProteinLength,DomainSystem,DomainId,DomainSignature,DomainStart,DomainStop,InterproId,InterproName
AIG96631.1,739,PIRSF,PIRSF003900,,1,739,IPR008609,Ebola nucleoprotein
AIG96631.1,739,Pfam,PF05505,Ebola nucleoprotein,19,734,IPR008609,Ebola nucleoprotein
AIG96631.1,739,Coils,Coil,,340,364,,
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,269,298,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,20,45,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,303,319,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,124,153,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,205,224,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,227,246,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,320,340,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PRINTS,PR01240,Filoviridae VP35 signature,159,188,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,Pfam,PF02097,Filoviridae VP35,20,340,IPR002953,Filoviridae VP35 protein
AIG96632.1,340,PIRSF,PIRSF018326,,12,340,IPR002953,Filoviridae VP35 protein
AIG96633.1,326,SUPERFAMILY,SSF50012,,201,321,IPR008986,EV matrix protein
AIG96633.1,326,SUPERFAMILY,SSF50012,,44,194,IPR008986,EV matrix protein
AIG96633.1,326,PIRSF,PIRSF018327,,1,326,IPR008986,EV matrix protein
AIG96633.1,326,Pfam,PF07447,Matrix protein VP40,1,295,IPR008986,EV matrix protein
AIG96634.1,676,Phobius,CYTOPLASMIC_DOMAIN,Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.,676,29-09-2014,
AIG96634.1,676,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,17,27,,
AIG96634.1,676,Pfam,PF01611,Filovirus glycoprotein,15,369,IPR002561,Filoviruses glycoprotein
AIG96634.1,676,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,32,,
AIG96634.1,676,SUPERFAMILY,SSF58069,,524,632,,
AIG96634.1,676,Gene3D,G3DSA:1.10.287.210,,558,629,,
AIG96634.1,676,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,28,32,,
AIG96634.1,676,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,650,672,,
AIG96634.1,676,PIRSF,PIRSF036874,,1,676,IPR014625,Filoviruses glycoprotein
AIG96634.1,676,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,651,675,,
AIG96634.1,676,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,16,,
AIG96634.1,676,Phobius,NON_CYTOPLASMIC_DOMAIN,Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.,33,29-09-2014,
AIG96635.1,364,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,16,,
AIG96635.1,364,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,32,,
AIG96635.1,364,Phobius,NON_CYTOPLASMIC_DOMAIN,Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.,33,29-09-2014,
AIG96635.1,364,Pfam,PF01611,Filovirus glycoprotein,15,363,IPR002561,Filoviruses glycoprotein
AIG96635.1,364,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,28,32,,
AIG96635.1,364,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,17,27,,
AIG96636.1,297,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,16,,
